duplicate_name,path,has_images,image_count,image_refs
collective-intelligence.md,blog/2020/08/28/collective-intelligence.md,no,0,
collective-intelligence.md,initiatives/collective-intelligence.md,no,0,
collective-wisdom.md,collective-wisdom.md,no,0,
collective-wisdom.md,initiatives/collective-wisdom.md,no,0,
compassionate-mental-health.md,blog/2021/05/14/compassionate-mental-health.md,no,0,
compassionate-mental-health.md,institute/compassionate-mental-health.md,no,0,
conscious-coliving.md,conscious-coliving.md,no,0,
conscious-coliving.md,initiatives/conscious-coliving.md,no,0,
contemplative-activism.md,initiatives/contemplative-activism.md,no,0,
contemplative-activism.md,institute/contemplative-activism.md,yes,1,line 13: /assets/images/img_20200419_131056.jpg
embodying-collective-transformation.md,initiatives/embodying-collective-transformation.md,no,0,
embodying-collective-transformation.md,programs/embodying-collective-transformation.md,yes,18,line 16: /assets/images/IMG_0004-scaled-e1653344100902-1024x614.jpg; line 20: /assets/images/Untitled-design-e1654193430324.png; line 32: /assets/images/fullsizeoutput_1e3e-e1573491035400-1024x542.jpeg; line 38: /assets/images/Untitled-design-e1654193430324.png; line 82: /assets/images/ima5206798460595800666-e1653592511495.jpeg; line 127: /assets/images/WhatsApp-Image-2022-01-07-at-00.19.46-e1653601766615-1024x663.jpeg; line 141: /assets/images/IMG_4924_1-scaled-e1653601439702-1024x827.jpg; line 184: /assets/images/IMG_5059-scaled-e1653602699309-1024x836.jpg; line 206: /assets/images/e1ce9022-71d8-4bae-a0dc-ecd636652497-1024x767.jpg; line 212: /assets/images/Karl-portrait.jpeg; line 216: /assets/images/Nadine-portrait.png; line 220: /assets/images/Jocelyn-portrait.png; line 224: /assets/images/Catherine-portrait.png; line 234: /assets/images/2-1024x1024.png; line 236: /assets/images/1-1024x1024.png; line 238: /assets/images/3-1024x1024.png; line 240: /assets/images/4-1024x1024.png; line 249: /assets/images/free-to-use-sounds-XtQNZRTIMYc-unsplash-1024x684.jpeg
emergent-dialogue-residency-june-2022.md,blog/2022/03/25/emergent-dialogue-residency-june-2022.md,no,0,
emergent-dialogue-residency-june-2022.md,programs/sympoiesis/emergent-dialogue-residency-june-2022.md,yes,32,line 17: /assets/images/cropped-cropped-life-itself-horizontal.png; line 27: /assets/images/Thomas-Eliz-Side-Assisi-2020.jpg; line 31: /assets/images/Fall-Equinox-Fire-Ceremony-2018-2-1024x1024.jpg; line 31: /assets/images/IMG_1534-1024x1024.jpeg; line 31: /assets/images/emerge-SWG-fire-circle-Pfingsten-2018-2-1024x1024.jpeg; line 31: /assets/images/small-meditator-5.png; line 79: /assets/images/Rectangle-3-1.png; line 109: /assets/images/Rectangle-3-2-1-1024x341.png; line 225: /assets/images/Frame-37-1.png; line 225: /assets/images/Mike-Casa-della-Pace-circle-group-scaled-e1649237518146-883x1024.jpeg; line 229: /assets/images/Group-16.svg; line 233: /assets/images/Group-17.svg; line 237: /assets/images/Group-20.svg; line 241: /assets/images/Group-19.svg; line 245: /assets/images/Group-16.svg; line 249: /assets/images/Group-19.svg; line 253: /assets/images/Frame-37-1.png; line 257: /assets/images/Group-17.svg; line 261: /assets/images/Group-16.svg; line 265: /assets/images/Group-25.svg; line 271: /assets/images/Frame-37-2.png; line 281: /assets/images/Thomas-Steininger-300x300-1.jpg; line 293: /assets/images/1.svg; line 297: /assets/images/1.svg; line 297: /assets/images/Ellipse-1-2.png; line 301: /assets/images/1.svg; line 301: /assets/images/Frame-37-2-2.png; line 305: /assets/images/1.svg; line 309: /assets/images/1.svg; line 313: /assets/images/1.svg; line 313: /assets/images/Kerry-Lindsey-2-2021-2-1.jpg; line 317: /assets/images/Cass-Charrette.jpg
hannah-close-on-animism-kinship-and-the-social-change-ecosystem.md,blog/2022/07/12/hannah-close-on-animism-kinship-and-the-social-change-ecosystem.md,no,0,
hannah-close-on-animism-kinship-and-the-social-change-ecosystem.md,podcast/hannah-close-on-animism-kinship-and-the-social-change-ecosystem.md,no,0,
hubs.md,hubs.md,yes,3,line 9: /assets/images/bergerac-photo_square.jpg; line 17: /assets/images/img-20200417-wa0003_square.jpg; line 25: /assets/images/dsc01698_square.jpg
hubs.md,initiatives/hubs.md,no,0,
index.md,index.md,yes,7,line 27: https://next.lifeitself.org/wp-content/uploads/2025/11/li-logo-new.svg; line 117: https://next.lifeitself.org/wp-content/uploads/2025/11/0900ee8024578e3a42eccd421b54a7e6a39c61f3.png; line 131: https://next.lifeitself.org/wp-content/uploads/2025/11/fish-edited.png; line 201: https://next.lifeitself.org/wp-content/uploads/2025/11/people.png; line 215: https://next.lifeitself.org/wp-content/uploads/2025/11/hands1.png; line 299: https://next.lifeitself.org/wp-content/uploads/2025/11/vision.jpg; line 520: https://next.lifeitself.org/wp-content/uploads/2025/11/li-logo-new.svg
index.md,podcast/index.md,no,0,
